Label,Amount,Direction,Open price,Close price,Profit/Loss,Profit/Loss in pips,Open date,Close date,Comment
nextDay_SELL_2633,0.53,SELL,1.4889,1.48424,2469.8,46.6,2/1/2008 8:16,2/1/2008 16:11,
nextDay_SELL_2634,0.53,SELL,1.4889,1.48424,2469.8,46.6,2/1/2008 8:16,2/1/2008 16:11,
nextDay_SELL_2635,0.02,SELL,1.48157,1.47987,34,17,2/5/2008 4:31,2/5/2008 8:05,
nextDay_BUY_2636,0.66,BUY,1.47987,1.46804,-7807.8,-118.3,2/5/2008 8:05,2/5/2008 11:00,
nextDay_BUY_2637,0.66,BUY,1.47987,1.46804,-7807.8,-118.3,2/5/2008 8:05,2/5/2008 11:00,
nextDay_SELL_2638,0.02,SELL,1.46144,1.45647,99.4,49.7,2/7/2008 4:31,2/7/2008 13:21,
nextDay_SELL_2639,0.04,SELL,1.46334,1.45647,274.8,68.7,2/7/2008 6:31,2/7/2008 13:21,
nextDay_SELL_2640,0.08,SELL,1.46334,1.45647,549.6,68.7,2/7/2008 6:31,2/7/2008 13:21,
nextDay_SELL_2641,0.04,SELL,1.46427,1.45647,312,78,2/7/2008 9:39,2/7/2008 13:21,
nextDay_SELL_2642,0.08,SELL,1.46427,1.45647,624,78,2/7/2008 9:39,2/7/2008 13:21,
nextDay_SELL_2643,0.12,SELL,1.45747,1.45647,120,10,2/7/2008 12:47,2/7/2008 13:21,
nextDay_SELL_2644,0.04,SELL,1.44842,1.45064,-88.8,-22.2,2/8/2008 4:31,2/8/2008 16:11,
nextDay_SELL_2645,0.04,SELL,1.44951,1.45064,-45.2,-11.3,2/8/2008 6:59,2/8/2008 16:11,
nextDay_SELL_2646,0.08,SELL,1.44951,1.45064,-90.4,-11.3,2/8/2008 6:59,2/8/2008 16:11,
nextDay_SELL_2647,0.12,SELL,1.44913,1.45064,-181.2,-15.1,2/8/2008 15:55,2/8/2008 16:11,
nextDay_SELL_2649,0.12,SELL,1.45069,1.45864,-954,-79.5,2/12/2008 9:58,2/12/2008 15:36,
nextDay_SELL_2648,0.01,SELL,1.45135,1.45873,-73.8,-73.8,2/12/2008 4:31,2/12/2008 15:39,
nextDay_BUY_2650,0.01,BUY,1.458,1.45428,-37.2,-37.2,2/13/2008 4:31,2/13/2008 7:48,
nextDay_BUY_2651,0.001,BUY,1.458,1.45428,-3.72,-37.2,2/13/2008 4:31,2/13/2008 7:48,
nextDay_BUY_2652,0.01,BUY,1.45434,1.45685,25.1,25.1,2/13/2008 7:48,2/13/2008 16:11,
nextDay_BUY_2653,0.001,BUY,1.45434,1.45685,2.51,25.1,2/13/2008 7:48,2/13/2008 16:11,
nextDay_BUY_2654,0.02,BUY,1.45434,1.45685,50.2,25.1,2/13/2008 7:48,2/13/2008 16:11,
nextDay_BUY_2655,0.001,BUY,1.45434,1.45685,2.51,25.1,2/13/2008 7:48,2/13/2008 16:11,
nextDay_SELL_2656,0.04,SELL,1.45633,1.46157,-209.6,-52.4,2/14/2008 4:31,2/14/2008 10:57,
nextDay_SELL_2657,0.04,SELL,1.45741,1.46159,-167.2,-41.8,2/14/2008 6:31,2/14/2008 10:57,
nextDay_SELL_2658,0.08,SELL,1.45741,1.46159,-334.4,-41.8,2/14/2008 6:31,2/14/2008 10:57,
nextDay_SELL_2659,0.16,SELL,1.46167,1.46342,-280,-17.5,2/14/2008 8:31,2/14/2008 16:11,
nextDay_SELL_2660,0.32,SELL,1.46167,1.46342,-560,-17.5,2/14/2008 8:31,2/14/2008 16:11,
nextDay_BUY_2661,0.01,BUY,1.46325,1.467,37.5,37.5,2/15/2008 4:31,2/15/2008 9:47,
nextDay_SELL_2662,0.39,SELL,1.467,1.46909,-815.1,-20.9,2/15/2008 9:47,2/15/2008 16:11,
nextDay_SELL_2663,0.39,SELL,1.467,1.46909,-815.1,-20.9,2/15/2008 9:47,2/15/2008 16:11,
nextDay_BUY_2664,0.01,BUY,1.46625,1.474,77.5,77.5,2/19/2008 4:31,2/19/2008 16:11,
nextDay_BUY_2665,0.19,BUY,1.47436,1.474,-68.4,-3.6,2/19/2008 12:00,2/19/2008 16:11,
nextDay_BUY_2666,0.01,BUY,1.47285,1.47887,60.2,60.2,2/21/2008 4:31,2/21/2008 16:11,
nextDay_BUY_2667,0.19,BUY,1.47079,1.47887,1535.2,80.8,2/21/2008 12:00,2/21/2008 16:11,
